File,Status,Objective (Baseline),Time (s),Facilities Opened,Note
cap41.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap42.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap43.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap44.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap61.txt,OPTIMAL,932615.75,0.2280,11,
cap62.txt,OPTIMAL,977799.4000000001,0.2220,9,
cap63.txt,OPTIMAL,1014099.6125,0.4460,8,
cap64.txt,OPTIMAL,1053197.4375000002,0.9160,6,
cap71.txt,OPTIMAL,932615.75,0.1260,11,
cap72.txt,OPTIMAL,977799.4000000001,0.1480,9,
cap73.txt,OPTIMAL,1010641.4500000002,0.1210,5,
cap74.txt,OPTIMAL,1034976.9750000001,0.1160,4,
cap81.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap82.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap83.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap84.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap91.txt,OPTIMAL,796648.4375000001,0.3290,15,
cap92.txt,OPTIMAL,858109.3250000001,0.3370,12,
cap93.txt,OPTIMAL,900760.1125,0.6820,9,
cap94.txt,OPTIMAL,950608.425,2.0040,7,
cap101.txt,OPTIMAL,796648.4375000001,0.2910,15,
cap102.txt,OPTIMAL,854704.2000000001,0.2350,11,
cap103.txt,OPTIMAL,893782.1125,0.2400,8,
cap104.txt,OPTIMAL,928941.7500000001,0.2420,4,
cap111.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap112.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap113.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap114.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
cap121.txt,OPTIMAL,793439.5625000001,0.7040,15,
cap122.txt,OPTIMAL,854900.4500000001,0.7420,12,
cap123.txt,OPTIMAL,898266.0750000001,1.3400,9,
cap124.txt,OPTIMAL,950608.425,4.3130,7,
cap131.txt,OPTIMAL,793439.5625000001,0.4540,15,
cap132.txt,OPTIMAL,851495.3250000001,0.5260,11,
cap133.txt,OPTIMAL,893076.7125000001,0.4920,8,
cap134.txt,OPTIMAL,928941.7500000001,0.5200,4,
cap51.txt,INFEASIBLE,,N/A,0,Vô nghiệm do sức chứa quá gắt
