File,Status,Objective (Baseline),Time (s),Facilities Opened,Note
cap41.txt,OPTIMAL,1189319.4625,0.1950,12,MILP
cap42.txt,OPTIMAL,1241277.4625,0.2370,11,MILP
cap43.txt,OPTIMAL,1291277.4625,0.2400,11,MILP
cap44.txt,OPTIMAL,1354962.7750,0.8920,9,MILP
cap61.txt,OPTIMAL,932615.7500,0.0280,11,MILP
cap62.txt,OPTIMAL,977799.4000,0.0280,9,MILP
cap63.txt,OPTIMAL,1014099.6125,0.0610,8,MILP
cap64.txt,OPTIMAL,1053197.4375,0.1360,6,MILP
cap71.txt,OPTIMAL,932615.7500,0.0210,11,MILP
cap72.txt,OPTIMAL,977799.4000,0.0220,9,MILP
cap73.txt,OPTIMAL,1010641.4500,0.0200,5,MILP
cap74.txt,OPTIMAL,1034976.9750,0.0200,4,MILP
cap81.txt,OPTIMAL,940182.3375,0.0810,15,MILP
cap82.txt,OPTIMAL,1002637.5000,0.1100,13,MILP
cap83.txt,OPTIMAL,1059244.2000,0.2220,12,MILP
cap84.txt,OPTIMAL,1139237.1250,0.9150,11,MILP
cap91.txt,OPTIMAL,796648.4375,0.0780,15,MILP
cap92.txt,OPTIMAL,858109.3250,0.0750,12,MILP
cap93.txt,OPTIMAL,900760.1125,0.1700,9,MILP
cap94.txt,OPTIMAL,950608.4250,0.3620,7,MILP
cap101.txt,OPTIMAL,796648.4375,0.0520,15,MILP
cap102.txt,OPTIMAL,854704.2000,0.0500,11,MILP
cap103.txt,OPTIMAL,893782.1125,0.0520,8,MILP
cap104.txt,OPTIMAL,928941.7500,0.0490,4,MILP
cap111.txt,OPTIMAL,936973.4625,0.2730,15,MILP
cap112.txt,OPTIMAL,999428.6250,0.3910,13,MILP
cap113.txt,OPTIMAL,1055448.5625,0.5470,12,MILP
cap114.txt,OPTIMAL,1134002.6625,1.1970,11,MILP
cap121.txt,OPTIMAL,793439.5625,0.1640,15,MILP
cap122.txt,OPTIMAL,854900.4500,0.1090,12,MILP
cap123.txt,OPTIMAL,898266.0750,0.2980,9,MILP
cap124.txt,OPTIMAL,950608.4250,0.7290,7,MILP
cap131.txt,OPTIMAL,793439.5625,0.0780,15,MILP
cap132.txt,OPTIMAL,851495.3250,0.0930,11,MILP
cap133.txt,OPTIMAL,893076.7125,0.0860,8,MILP
cap134.txt,OPTIMAL,928941.7500,0.0650,4,MILP
cap51.txt,OPTIMAL,1217402.4500,0.0700,7,MILP
