File,Status,Objective (Baseline),Time (s),Facilities Opened,Note
cap41.txt,FEASIBLE,1191275.7375,0.0023,13,VND
cap42.txt,FEASIBLE,1251550.6750,0.0025,11,VND
cap43.txt,FEASIBLE,1300377.9750,0.0025,11,VND
cap44.txt,FEASIBLE,1378485.5000,0.0059,10,VND
cap61.txt,FEASIBLE,934199.1375,0.0017,11,VND
cap62.txt,FEASIBLE,977799.4000,0.0054,9,VND
cap63.txt,FEASIBLE,1014099.6125,0.0052,8,VND
cap64.txt,FEASIBLE,1059264.8500,0.0044,6,VND
cap71.txt,FEASIBLE,934199.1375,0.0022,11,VND
cap72.txt,FEASIBLE,977799.4000,0.0020,9,VND
cap73.txt,FEASIBLE,1012476.9750,0.0015,4,VND
cap74.txt,FEASIBLE,1034976.9750,0.0014,4,VND
cap81.txt,FEASIBLE,942678.5875,0.0057,15,VND
cap82.txt,FEASIBLE,1002637.5000,0.0131,13,VND
cap83.txt,FEASIBLE,1071618.6750,0.0068,11,VND
cap84.txt,FEASIBLE,1160315.9375,0.0065,12,VND
cap91.txt,FEASIBLE,799144.6875,0.0051,15,VND
cap92.txt,FEASIBLE,858697.2500,0.0047,11,VND
cap93.txt,FEASIBLE,913008.0125,0.0064,8,VND
cap94.txt,FEASIBLE,962441.8000,0.0064,7,VND
cap101.txt,FEASIBLE,799144.6875,0.0049,15,VND
cap102.txt,FEASIBLE,854704.2000,0.0054,11,VND
cap103.txt,FEASIBLE,894008.1375,0.0032,7,VND
cap104.txt,FEASIBLE,928941.7500,0.0046,4,VND
cap111.txt,FEASIBLE,939469.7125,0.0318,15,VND
cap112.txt,FEASIBLE,1006879.3875,0.0279,13,VND
cap113.txt,FEASIBLE,1074710.7625,0.0186,11,VND
cap114.txt,FEASIBLE,1144370.4875,0.0402,11,VND
cap121.txt,FEASIBLE,798379.4875,0.0124,14,VND
cap122.txt,FEASIBLE,855488.3750,0.0162,11,VND
cap123.txt,FEASIBLE,913008.0125,0.0260,8,VND
cap124.txt,FEASIBLE,964486.2375,0.0223,7,VND
cap131.txt,FEASIBLE,798379.4875,0.0137,14,VND
cap132.txt,FEASIBLE,851495.3250,0.0232,11,VND
cap133.txt,FEASIBLE,893076.7125,0.0135,8,VND
cap134.txt,FEASIBLE,928941.7500,0.0200,4,VND
cap51.txt,FEASIBLE,1219174.3625,0.0082,7,VND
