File,Status,Objective (Baseline),Time (s),Facilities Opened,Note
cap41.txt,FEASIBLE,1215180.4000,0.0001,13,Move3
cap42.txt,FEASIBLE,1301690.5750,0.0001,12,Move3
cap43.txt,FEASIBLE,1360971.7000,0.0001,11,Move3
cap44.txt,FEASIBLE,1437634.1000,0.0001,11,Move3
cap61.txt,FEASIBLE,943671.2875,0.0001,12,Move3
cap62.txt,FEASIBLE,1002190.1250,0.0002,11,Move3
cap63.txt,FEASIBLE,1070945.0500,0.0002,9,Move3
cap64.txt,FEASIBLE,1107745.5750,0.0002,7,Move3
cap71.txt,FEASIBLE,943671.2875,0.0001,12,Move3
cap72.txt,FEASIBLE,977799.4000,0.0002,9,Move3
cap73.txt,FEASIBLE,1012476.9750,0.0001,4,Move3
cap74.txt,FEASIBLE,1034976.9750,0.0001,4,Move3
cap81.txt,FEASIBLE,963433.5125,0.0001,18,Move3
cap82.txt,FEASIBLE,1048161.0500,0.0002,16,Move3
cap83.txt,FEASIBLE,1129610.1500,0.0003,14,Move3
cap84.txt,FEASIBLE,1235146.9250,0.0003,14,Move3
cap91.txt,FEASIBLE,805261.0250,0.0002,16,Move3
cap92.txt,FEASIBLE,868481.0250,0.0003,11,Move3
cap93.txt,FEASIBLE,921842.3250,0.0004,9,Move3
cap94.txt,FEASIBLE,969093.8625,0.0003,7,Move3
cap101.txt,FEASIBLE,805261.0250,0.0002,16,Move3
cap102.txt,FEASIBLE,855971.7500,0.0004,11,Move3
cap103.txt,FEASIBLE,894008.1375,0.0004,7,Move3
cap104.txt,FEASIBLE,934586.9750,0.0002,4,Move3
cap111.txt,FEASIBLE,959905.2500,0.0004,18,Move3
cap112.txt,FEASIBLE,1035921.4125,0.0007,17,Move3
cap113.txt,FEASIBLE,1120288.4125,0.0007,14,Move3
cap114.txt,FEASIBLE,1232542.1000,0.0010,14,Move3
cap121.txt,FEASIBLE,801016.1625,0.0006,16,Move3
cap122.txt,FEASIBLE,860728.8750,0.0010,11,Move3
cap123.txt,FEASIBLE,920705.6125,0.0009,10,Move3
cap124.txt,FEASIBLE,967130.8250,0.0006,7,Move3
cap131.txt,FEASIBLE,801016.1625,0.0006,16,Move3
cap132.txt,FEASIBLE,852762.8750,0.0009,11,Move3
cap133.txt,FEASIBLE,893076.7125,0.0010,8,Move3
cap134.txt,FEASIBLE,934586.9750,0.0005,4,Move3
cap51.txt,FEASIBLE,1274251.4125,0.0003,10,Move3
