Iteration,Move,Objective
0,Initial Greedy2,1088806.9125
1,Move1,1085401.7875
2,Move3,1058805.8250000002
3,Move1,1050912.7500000002
4,Move1,1044320.5250000003
5,Move1,1041662.4375000002
6,Move1,1039067.8125000002
7,Move1,1037598.6875000002
8,Move1,1036169.8875000002
9,Move1,1034922.7000000002
10,Move1,1034104.9000000001
11,Move1,1033357.0375000001
12,Move1,1032777.8875000001
13,Move1,1032570.175
14,Move1,1032381.4750000001
15,Move1,1032200.8
16,Move2,1026486.15
17,Move3,1023053.8875000001
18,Move3,1022987.3375
19,Move1,1020735.125
20,Move1,1019507.35
21,Move1,1018677.9125
22,Move1,1018215.0375
23,Move4,1016125.725
24,Move1,1015580.7
25,Move4,1013145.7999999999
26,Move1,1012743.6124999999
27,Move1,1012642.5499999999
28,Move5,1012136.9999999999
29,Move1,1007903.9249999999
30,Move1,1006361.5249999999
31,Move4,1004761.0499999999
32,Move1,1002637.4999999999
