File,Objective,Time (s),Facilities
cap41.txt,INFEASIBLE,N/A,0
cap42.txt,INFEASIBLE,N/A,0
cap43.txt,INFEASIBLE,N/A,0
cap44.txt,INFEASIBLE,N/A,0
cap61.txt,951373.4250000003,0.000254,10
cap62.txt,1067595.0125,0.000157,6
cap63.txt,1148294.1250000002,0.000157,6
cap64.txt,1268934.55,0.000154,5
cap71.txt,961206.7125000001,0.000159,9
cap72.txt,1003078.4000000003,0.000162,5
cap73.txt,1023841.3750000005,0.000229,3
cap74.txt,1038841.3750000005,0.000195,3
cap81.txt,INFEASIBLE,N/A,0
cap82.txt,INFEASIBLE,N/A,0
cap83.txt,INFEASIBLE,N/A,0
cap84.txt,INFEASIBLE,N/A,0
cap91.txt,813466.5500000002,0.000231,13
cap92.txt,894669.7125000003,0.000232,7
cap93.txt,964888.5375000001,0.000235,6
cap94.txt,1046787.1749999999,0.000260,5
cap101.txt,813466.5500000002,0.000313,13
cap102.txt,871406.3625000003,0.000239,7
cap103.txt,920972.9625000005,0.000238,4
cap104.txt,951164.3500000004,0.000236,3
cap111.txt,INFEASIBLE,N/A,0
cap112.txt,INFEASIBLE,N/A,0
cap113.txt,INFEASIBLE,N/A,0
cap114.txt,INFEASIBLE,N/A,0
cap121.txt,813466.5500000002,0.000450,13
cap122.txt,894669.7125000003,0.000450,7
cap123.txt,964888.5375000001,0.000837,6
cap124.txt,1046787.1749999999,0.000441,5
cap131.txt,813466.5500000002,0.000434,13
cap132.txt,871406.3625000003,0.001214,7
cap133.txt,920972.9625000005,0.002429,4
cap134.txt,951164.3500000004,0.000593,3
cap51.txt,INFEASIBLE,N/A,0
